source,target
7697611,7702556
7697626,7698123
7697626,7701650
7697626,7702129
7697655,7697899
7697655,7700288
7697655,7700335
7697655,7700918
7697655,7701470
7697655,7701711
7697655,7702021
7697655,7702470
7697675,7701866
7697725,7698053
7697725,7698064
7697725,7698684
7697725,7698767
7697725,7698812
7697725,7699736
7697725,7699896
7697725,7700184
7697725,7700389
7697725,7700918
7697725,7701000
7697725,7701470
7697725,7702022
7697725,7702085
7697725,7702313
7697770,7699794
7697775,7699979
7697775,7700160
7697800,7697818
7697801,7701090
7697805,7701866
7697808,7697866
7697818,7697800
7697821,7697834
7697834,7697821
7697852,7697862
7697862,7697852
7697862,7697874
7697864,7700429
7697866,7697808
7697874,7697862
7697899,7697655
7697899,7701711
7697899,7702470
7697949,7699498
7697949,7699736
7697949,7700069
7697949,7701484
7698038,7699672
7698038,7699811
7698038,7700644
7698038,7700797
7698038,7700942
7698038,7701622
7698038,7702369
7698038,7702556
7698053,7697725
7698053,7698064
7698053,7698231
7698053,7698684
7698053,7699736
7698053,7700097
7698053,7700112
7698053,7700578
7698053,7700918
7698053,7701470
7698053,7701711
7698053,7702021
7698053,7702022
7698053,7702085
7698053,7702129
7698064,7697725
7698064,7698053
7698064,7699151
7698064,7699736
7698064,7699896
7698064,7702085
7698123,7697626
7698123,7698898
7698123,7699151
7698123,7699160
7698123,7699445
7698123,7699736
7698123,7700578
7698123,7700644
7698123,7701600
7698123,7702129
7698231,7698053
7698231,7699498
7698231,7700097
7698231,7702416
7698269,7698941
7698269,7699160
7698269,7700288
7698269,7700335
7698269,7700644
7698269,7701504
7698431,7700443
7698431,7701000
7698448,7699160
7698519,7702434
7698589,7698767
7698589,7699598
7698589,7699736
7698589,7699963
7698589,7700118
7698589,7701435
7698624,7699445
7698624,7699856
7698624,7700255
7698624,7701405
7698624,7701470
7698624,7701631
7698650,7701313
7698650,7701622
7698650,7702007
7698663,7701866
7698684,7697725
7698684,7698053
7698684,7699736
7698684,7699896
7698684,7702007
7698684,7702085
7698739,7700389
7698739,7700443
7698739,7701000
7698767,7697725
7698767,7698589
7698767,7698798
7698767,7699123
7698767,7699160
7698767,7699498
7698767,7699598
7698767,7699631
7698767,7699736
7698767,7699758
7698767,7700118
7698767,7700239
7698767,7700255
7698767,7700389
7698767,7700578
7698767,7700797
7698767,7700918
7698767,7701000
7698767,7701435
7698767,7701470
7698767,7701587
7698767,7701650
7698767,7701981
7698767,7702085
7698773,7701866
7698798,7698767
7698798,7699944
7698798,7700255
7698798,7700389
7698798,7700443
7698798,7700578
7698798,7700918
7698798,7701000
7698798,7701435
7698798,7701470
7698798,7701587
7698798,7702085
7698798,7702470
7698812,7697725
7698822,7701792
7698898,7698123
7698941,7698269
7698941,7699160
7698941,7700577
7698941,7701222
7698941,7701405
7699027,7699498
7699027,7700069
7699027,7701000
7699050,7700170
7699123,7698767
7699123,7699160
7699123,7701222
7699151,7698064
7699151,7698123
7699151,7699484
7699151,7699498
7699151,7699736
7699151,7700918
7699151,7700942
7699160,7698123
7699160,7698269
7699160,7698448
7699160,7698767
7699160,7698941
7699160,7699123
7699160,7700376
7699160,7700644
7699160,7701435
7699160,7702522
7699200,7699736
7699200,7700692
7699200,7700801
7699200,7701476
7699367,7699372
7699367,7699381
7699372,7699367
7699372,7699381
7699381,7699367
7699381,7699372
7699381,7699528
7699381,7701222
7699421,7700918
7699421,7701631
7699445,7698123
7699445,7698624
7699445,7699498
7699445,7699663
7699445,7699736
7699445,7699758
7699445,7699888
7699445,7700239
7699445,7700301
7699445,7700335
7699445,7700389
7699445,7700443
7699445,7700942
7699445,7701000
7699445,7701405
7699445,7701470
7699445,7701550
7699445,7701569
7699445,7701622
7699445,7701631
7699445,7702085
7699484,7699151
7699484,7699498
7699484,7701000
7699498,7697949
7699498,7698231
7699498,7698767
7699498,7699027
7699498,7699151
7699498,7699445
7699498,7699484
7699498,7699663
7699498,7699736
7699498,7699758
7699498,7699856
7699498,7700069
7699498,7700239
7699498,7700918
7699498,7700942
7699498,7701000
7699498,7701215
7699498,7701470
7699498,7701600
7699498,7701622
7699498,7702022
7699498,7702085
7699498,7702449
7699528,7699381
7699528,7701222
7699598,7698589
7699598,7698767
7699598,7699736
7699598,7700184
7699598,7700239
7699598,7700398
7699598,7700918
7699598,7701435
7699631,7698767
7699631,7700160
7699631,7701215
7699663,7699445
7699663,7699498
7699663,7699736
7699663,7700301
7699663,7700942
7699663,7701010
7699663,7701249
7699663,7701550
7699663,7701622
7699663,7701631
7699663,7701711
7699663,7702007
7699663,7702085
7699663,7702313
7699672,7698038
7699672,7699979
7699672,7700942
7699672,7702556
7699736,7697725
7699736,7697949
7699736,7698053
7699736,7698064
7699736,7698123
7699736,7698589
7699736,7698684
7699736,7698767
7699736,7699151
7699736,7699200
7699736,7699445
7699736,7699498
7699736,7699598
7699736,7699663
7699736,7699758
7699736,7699963
7699736,7700112
7699736,7700153
7699736,7700170
7699736,7700239
7699736,7700301
7699736,7700335
7699736,7700376
7699736,7700578
7699736,7700644
7699736,7700801
7699736,7700918
7699736,7700942
7699736,7701000
7699736,7701222
7699736,7701435
7699736,7701470
7699736,7701476
7699736,7701550
7699736,7701569
7699736,7701622
7699736,7702085
7699736,7702129
7699736,7702449
7699758,7698767
7699758,7699445
7699758,7699498
7699758,7699736
7699758,7699856
7699758,7701000
7699758,7701090
7699758,7701631
7699758,7701981
7699758,7702085
7699794,7697770
7699794,7700218
7699794,7701029
7699794,7702007
7699811,7698038
7699811,7700797
7699811,7701622
7699811,7702369
7699813,7700170
7699856,7698624
7699856,7699498
7699856,7699758
7699856,7700160
7699856,7701405
7699856,7701631
7699888,7699445
7699888,7700153
7699888,7701470
7699896,7697725
7699896,7698064
7699896,7698684
7699896,7701000
7699896,7701230
7699896,7702085
7699896,7702425
7699897,7701569
7699925,7702207
7699944,7698798
7699944,7700376
7699963,7698589
7699963,7699736
7699979,7697775
7699979,7699672
7699979,7700160
7699979,7700918
7699979,7702398
7700010,7700082
7700047,7701090
7700047,7701631
7700069,7697949
7700069,7699027
7700069,7699498
7700071,7700091
7700082,7700010
7700091,7700071
7700097,7698053
7700097,7698231
7700097,7701470
7700097,7702022
7700112,7698053
7700112,7699736
7700112,7700218
7700112,7700578
7700112,7702085
7700118,7698589
7700118,7698767
7700118,7702085
7700153,7699736
7700153,7699888
7700160,7697775
7700160,7699631
7700160,7699856
7700160,7699979
7700170,7699050
7700170,7699736
7700170,7699813
7700170,7701569
7700184,7697725
7700184,7699598
7700184,7702022
7700218,7699794
7700218,7700112
7700239,7698767
7700239,7699445
7700239,7699498
7700239,7699598
7700239,7699736
7700239,7700578
7700239,7701435
7700239,7702085
7700239,7702449
7700240,7700258
7700240,7700283
7700255,7698624
7700255,7698767
7700255,7698798
7700255,7701470
7700255,7701631
7700255,7702470
7700258,7700240
7700258,7700283
7700283,7700240
7700283,7700258
7700288,7697655
7700288,7698269
7700288,7701504
7700301,7699445
7700301,7699663
7700301,7699736
7700301,7700389
7700301,7700443
7700301,7701010
7700301,7701569
7700335,7697655
7700335,7698269
7700335,7699445
7700335,7699736
7700335,7700577
7700335,7701470
7700335,7701711
7700335,7702470
7700343,7700675
7700376,7699160
7700376,7699736
7700376,7699944
7700376,7700644
7700376,7700918
7700376,7701090
7700376,7701569
7700376,7702129
7700389,7697725
7700389,7698739
7700389,7698767
7700389,7698798
7700389,7699445
7700389,7700301
7700389,7700443
7700389,7700918
7700389,7701000
7700389,7701470
7700389,7701476
7700389,7701631
7700389,7701711
7700389,7702449
7700398,7699598
7700398,7700797
7700417,7701940
7700429,7697864
7700443,7698431
7700443,7698739
7700443,7698798
7700443,7699445
7700443,7700301
7700443,7700389
7700443,7700942
7700443,7701000
7700443,7701470
7700443,7701471
7700443,7702085
7700531,7702049
7700577,7698941
7700577,7700335
7700577,7701470
7700578,7698053
7700578,7698123
7700578,7698767
7700578,7698798
7700578,7699736
7700578,7700112
7700578,7700239
7700578,7701435
7700578,7701908
7700578,7702085
7700578,7702129
7700644,7698038
7700644,7698123
7700644,7698269
7700644,7699160
7700644,7699736
7700644,7700376
7700644,7701230
7700644,7701504
7700644,7701650
7700675,7700343
7700692,7699200
7700692,7700801
7700692,7700914
7700692,7702566
7700766,7700794
7700767,7702243
7700794,7700766
7700797,7698038
7700797,7698767
7700797,7699811
7700797,7700398
7700797,7701395
7700797,7701863
7700797,7702556
7700801,7699200
7700801,7699736
7700801,7700692
7700893,7702556
7700914,7700692
7700914,7701622
7700914,7702313
7700918,7697655
7700918,7697725
7700918,7698053
7700918,7698767
7700918,7698798
7700918,7699151
7700918,7699421
7700918,7699498
7700918,7699598
7700918,7699736
7700918,7699979
7700918,7700376
7700918,7700389
7700918,7701000
7700918,7701090
7700918,7701239
7700918,7701470
7700918,7701631
7700918,7701711
7700918,7702021
7700918,7702085
7700918,7702129
7700918,7702470
7700942,7698038
7700942,7699151
7700942,7699445
7700942,7699498
7700942,7699663
7700942,7699672
7700942,7699736
7700942,7700443
7700942,7701550
7700942,7701622
7700958,7701587
7701000,7697725
7701000,7698431
7701000,7698739
7701000,7698767
7701000,7698798
7701000,7699027
7701000,7699445
7701000,7699484
7701000,7699498
7701000,7699736
7701000,7699758
7701000,7699896
7701000,7700389
7701000,7700443
7701000,7700918
7701000,7701470
7701000,7701476
7701000,7701587
7701000,7701650
7701000,7701773
7701000,7702022
7701000,7702085
7701010,7699663
7701010,7700301
7701010,7701631
7701010,7702313
7701029,7699794
7701049,7701324
7701090,7697801
7701090,7699758
7701090,7700047
7701090,7700376
7701090,7700918
7701090,7701470
7701090,7701631
7701215,7699498
7701215,7699631
7701222,7698941
7701222,7699123
7701222,7699381
7701222,7699528
7701222,7699736
7701230,7699896
7701230,7700644
7701230,7701504
7701239,7700918
7701239,7701464
7701249,7699663
7701249,7701622
7701249,7701631
7701313,7698650
7701324,7701049
7701395,7700797
7701405,7698624
7701405,7698941
7701405,7699445
7701405,7699856
7701405,7701631
7701405,7701981
7701435,7698589
7701435,7698767
7701435,7698798
7701435,7699160
7701435,7699598
7701435,7699736
7701435,7700239
7701435,7700578
7701435,7701863
7701435,7702129
7701464,7701239
7701470,7697655
7701470,7697725
7701470,7698053
7701470,7698624
7701470,7698767
7701470,7698798
7701470,7699445
7701470,7699498
7701470,7699736
7701470,7699888
7701470,7700097
7701470,7700255
7701470,7700335
7701470,7700389
7701470,7700443
7701470,7700577
7701470,7700918
7701470,7701000
7701470,7701090
7701470,7701587
7701470,7701711
7701470,7702085
7701470,7702470
7701470,7702498
7701471,7700443
7701476,7699200
7701476,7699736
7701476,7700389
7701476,7701000
7701476,7701773
7701484,7697949
7701504,7698269
7701504,7700288
7701504,7700644
7701504,7701230
7701543,7701848
7701550,7699445
7701550,7699663
7701550,7699736
7701550,7700942
7701550,7701622
7701569,7699445
7701569,7699736
7701569,7699897
7701569,7700170
7701569,7700301
7701569,7700376
7701569,7702354
7701587,7698767
7701587,7698798
7701587,7700958
7701587,7701000
7701587,7701470
7701600,7698123
7701600,7699498
7701622,7698038
7701622,7698650
7701622,7699445
7701622,7699498
7701622,7699663
7701622,7699736
7701622,7699811
7701622,7700914
7701622,7700942
7701622,7701249
7701622,7701550
7701622,7701711
7701622,7702007
7701622,7702022
7701622,7702369
7701631,7698624
7701631,7699421
7701631,7699445
7701631,7699663
7701631,7699758
7701631,7699856
7701631,7700047
7701631,7700255
7701631,7700389
7701631,7700918
7701631,7701010
7701631,7701090
7701631,7701249
7701631,7701405
7701631,7702449
7701650,7697626
7701650,7698767
7701650,7700644
7701650,7701000
7701711,7697655
7701711,7697899
7701711,7698053
7701711,7699663
7701711,7700335
7701711,7700389
7701711,7700918
7701711,7701470
7701711,7701622
7701711,7702007
7701711,7702021
7701711,7702129
7701711,7702313
7701711,7702470
7701711,7702502
7701773,7701000
7701773,7701476
7701792,7698822
7701848,7701543
7701863,7700797
7701863,7701435
7701863,7702556
7701866,7697675
7701866,7697805
7701866,7698663
7701866,7698773
7701866,7702449
7701908,7700578
7701908,7701992
7701908,7702129
7701908,7702470
7701940,7700417
7701981,7698767
7701981,7699758
7701981,7701405
7701992,7701908
7702007,7698650
7702007,7698684
7702007,7699663
7702007,7699794
7702007,7701622
7702007,7701711
7702007,7702063
7702007,7702313
7702021,7697655
7702021,7698053
7702021,7700918
7702021,7701711
7702021,7702129
7702021,7702470
7702021,7702502
7702022,7697725
7702022,7698053
7702022,7699498
7702022,7700097
7702022,7700184
7702022,7701000
7702022,7701622
7702049,7700531
7702063,7702007
7702085,7697725
7702085,7698053
7702085,7698064
7702085,7698684
7702085,7698767
7702085,7698798
7702085,7699445
7702085,7699498
7702085,7699663
7702085,7699736
7702085,7699758
7702085,7699896
7702085,7700112
7702085,7700118
7702085,7700239
7702085,7700443
7702085,7700578
7702085,7700918
7702085,7701000
7702085,7701470
7702085,7702449
7702085,7702470
7702085,7702498
7702129,7697626
7702129,7698053
7702129,7698123
7702129,7699736
7702129,7700376
7702129,7700578
7702129,7700918
7702129,7701435
7702129,7701711
7702129,7701908
7702129,7702021
7702129,7702470
7702207,7699925
7702243,7700767
7702313,7697725
7702313,7699663
7702313,7700914
7702313,7701010
7702313,7701711
7702313,7702007
7702354,7701569
7702369,7698038
7702369,7699811
7702369,7701622
7702398,7699979
7702416,7698231
7702425,7699896
7702434,7698519
7702449,7699498
7702449,7699736
7702449,7700239
7702449,7700389
7702449,7701631
7702449,7701866
7702449,7702085
7702470,7697655
7702470,7697899
7702470,7698798
7702470,7700255
7702470,7700335
7702470,7700918
7702470,7701470
7702470,7701711
7702470,7701908
7702470,7702021
7702470,7702085
7702470,7702129
7702470,7702498
7702498,7701470
7702498,7702085
7702498,7702470
7702502,7701711
7702502,7702021
7702522,7699160
7702556,7697611
7702556,7698038
7702556,7699672
7702556,7700797
7702556,7700893
7702556,7701863
7702566,7700692
